year,num,pref,pop.1000,GRP.mill,agriculture,wood,mine,machine,chemical,Smachine,miscind,special,total
2015,30,Wakayama,964,3579029,558022,33346,3002557,6739228,12860439,1013053,655370,248696,25110711
2015,31,Tottori,573,1779178,322220,128166,848880,444811,1853033,1723114,642193,245629,6208046
2015,32,Shimane,694,2382265,391014,643052,5490875,2301858,3172636,480451,340748,240417,13061051
2015,33,Okayama,1922,7242774,4169087,628294,18998252,15879950,41032433,3936259,1619929,6893966,93158170
2015,34,Hiroshima,2844,11237887,1938725,1903855,11340354,30715087,11773873,4456996,1220442,8078763,71428095
2015,35,Yamaguchi,1405,5969042,916091,254875,19932083,7155896,54934830,1516969,895911,1414871,87021526
2015,36,Tokushima,756,3012328,478207,274274,2634556,1247987,2275768,1437282,910407,750033,10008514
2015,37,Kagawa,976,3672273,1221101,577753,2976416,3051085,16494163,2574888,1045474,1184496,29125376
2015,38,Ehime,1385,4756495,1090420,794905,11065363,3407592,10687036,6321337,1229779,1037514,35633946
2015,39,Kouchi,728,2349510,683446,321988,22257808,1148133,7148484,713612,101402,200968,32575841
2015,40,Fukuoka,5102,18112171,8519246,878336,29971896,17018710,42048675,8507105,4738693,11518934,123201595
2015,41,Saga,833,2737221,814529,273738,2883058,1483424,3906391,3148839,1080641,617767,14208387
2015,42,Nagasaki,1377,4310310,2080683,359445,4056303,2115078,3577888,998267,450941,396147,14034752
2015,43,Kumamoto,1786,5599928,1839683,461500,7681998,2874211,5781218,2002586,850103,2152844,23644143
2015,44,Ooita,1166,4142638,685278,1770756,13706559,11064790,25006927,1687380,180266,4397754,58499710
2015,45,Miyazaki,1104,3643441,1500698,657421,3525008,597605,5702006,1702632,947604,2383239,17016213
2015,46,Kagoshima,1648,5330338,6676265,247527,9668769,781037,4873191,2611927,1684215,6186117,32729048
2015,47,Okinawa,1434,4051060,943789,14256,11519952,708861,6148572,1052887,131386,698150,21217853
