year,month,mileage,daily_km,hybrid,displace_cc,weight_kg,age_month,temp_ave,gasprice,pop_density
2007,1,8.92,25.4,0,1990,1890,70,7.6,132.8,1027
2007,1,7.89,12.5,0,1990,1555,110,8.1,142.82,342
2007,1,7.3,24.7,0,1990,1415,128,-1.8,133.44,65
2007,1,7.85,50.6,0,1990,1720,80,7.5,133.3,4656
2007,1,10.61,21.7,0,1990,1475,178,5.2,134.4,234
2007,1,8.83,42.4,0,2150,1655,120,4.6,128.14,489
2007,1,7.91,28.2,0,2160,1755,118,3.8,131.42,320
2007,1,11.16,148.7,0,2350,2065,29,5.2,126.5,1923
2007,1,10.75,26.1,1,2360,2275,50,8.2,128.82,105
2007,1,3.49,61.2,0,2360,2150,35,-0.4,133.44,65
2007,1,8.87,45.9,0,2360,1825,68,5.2,134.4,234
2007,1,9.72,76.8,0,2360,2210,51,6.1,134.66,1448
2007,1,7.88,30.1,0,2380,2170,110,2.7,131.04,91
2007,1,7.35,18.2,0,2430,2155,134,7.2,137.64,188
2007,1,8,48.3,0,2960,1835,172,6.2,130.94,273
2007,1,6.91,10.5,0,2990,1905,170,-1.8,133.44,65
2007,1,6.8,55.6,1,3310,2235,21,6.2,133.62,338
2007,2,13.92,6.8,0,650,1040,43,5.9,129.3,192
2007,2,1.41,2.2,0,650,930,76,8.7,129.4,671
2007,2,12.1,10.9,0,650,990,98,4.1,129.525,143
2007,2,11.74,33.1,0,650,1080,20,6.4,128.975,378
2007,2,15.37,21,0,650,1030,86,2.7,127.3,91
2007,2,12.44,16.3,0,650,1230,8,-1.5,129.475,65
2007,2,15.84,45.8,0,650,1100,96,7.9,128.725,234
2007,2,16.22,23.2,0,650,1000,74,1.8,126.425,122
2007,2,10.91,13.9,0,650,1000,117,7.3,128.6,559
2007,2,15.75,22.5,0,650,1020,81,-1.5,129.475,65
2007,2,7.76,16.1,0,650,1060,29,5.7,124.8,313
2007,2,7.18,26.2,0,990,1095,120,2.8,134.325,158
2007,2,16.66,84.7,0,990,1145,44,6.2,132.5,277
2007,2,13.96,28.5,0,1290,1305,22,7.9,127.075,273
2007,2,10.86,1.8,0,1290,1265,85,-4.8,129.475,65
2007,2,9.3,42.2,0,1290,1285,80,8.2,129.175,338
2007,2,12.37,27.6,0,1320,1205,101,8.9,133.825,251
2007,2,13.79,26.1,0,1320,1195,43,6.6,124.725,1923
2007,2,14.4,120.6,0,1320,1265,27,-0.1,129.475,65
2007,2,14.04,20.2,0,1330,1265,68,8.6,133.6,6069
2007,2,6.96,162.2,1,1490,1535,14,7.3,128.6,559
2007,2,10.99,20.2,0,1490,1335,165,9.8,129.225,1027
2007,2,11.57,15.4,0,1490,1475,21,7.9,127.075,273
2007,2,10.49,21.5,0,1490,1375,83,2.8,134.325,158
2007,2,20.35,16.8,1,1490,1525,16,6.6,128.2,166
2007,2,11.87,27.6,0,1490,1425,9,8.2,129.175,338
2007,2,11.54,10.5,0,1490,1305,111,8.2,127.8,536
2007,2,20.47,29.9,1,1490,1555,5,8.7,129.4,671
2007,2,21.74,12.6,1,1490,1525,29,7.9,127.075,273
2007,2,13,23.7,0,1490,1265,143,-1.5,129.475,65
2007,2,13.5,45.9,0,1490,1475,11,-1.5,129.475,65
2007,2,15.08,39.1,1,1490,1525,31,8.9,133.825,251
2007,2,15.04,31.3,0,1490,1435,20,8.7,129.6,4656
2007,2,20.94,81.4,1,1490,1545,33,8.7,129.6,4656
2007,2,14.87,14.5,1,1490,1545,36,8.7,129.6,4656
2007,2,23.95,74.4,1,1490,1555,12,6.6,124.725,1923
2007,2,10.76,23.7,0,1490,1355,48,8.2,129.175,338
2007,2,12.23,10,1,1490,1565,33,7.9,128.725,234
2007,2,10.45,23.1,0,1580,1405,137,1.6,127.775,140
2007,2,9.74,12.2,0,1760,1365,147,10.3,140.2,342
2007,2,8.9,6.9,0,1790,1685,43,8.2,129.175,338
2007,2,7.66,12.3,0,1980,1635,214,7.9,127.075,273
2007,2,8.12,15,0,1980,1395,145,6.6,128.2,166
2007,2,12.21,25.8,0,1990,1745,45,7.9,127.075,273
2007,2,10.74,51,0,1990,1485,135,4.1,129.525,143
2007,2,9.37,78,0,1990,1605,144,8.9,133.825,251
2007,2,6.05,9.5,0,1990,1495,113,8.7,129.4,671
2007,2,8.83,14.8,0,1990,1645,137,8.2,129.175,338
2007,2,23.98,13.1,0,1990,2030,60,7.7,130.5,1448
2007,2,1.98,53.9,0,1990,1515,13,8.7,129.6,4656
2007,2,3.26,18.5,0,1990,1595,89,5.1,129.175,186
2007,2,7.83,24.5,0,1990,1785,93,6.6,124.725,1923
2007,2,7.2,18.4,0,2150,1960,144,5.1,129.175,186
2007,2,9.39,6.2,0,2160,1845,104,8.7,129.4,671
2007,2,5.81,23.7,0,2170,1715,36,9.7,132.05,245
2007,2,7.8,43.8,0,2350,2075,38,2.7,127.3,91
2007,2,11.2,20.7,1,2360,2385,6,2.8,134.325,158
2007,2,8.64,14.8,0,2360,1945,69,6.2,132.5,277
2007,2,6.48,12.4,0,2490,1895,52,-0.1,129.475,65
2007,2,5.3,9.3,0,2490,1845,44,9.5,131.6,487
2007,2,3.91,8.3,0,2490,1775,120,2.7,127.3,91
2007,2,2.81,15.8,0,2490,1835,9,9.8,129.225,1027
2007,2,6.11,10.2,0,2490,1845,137,-1.5,129.475,65
