year,num,prefecture,pop.1000,GRP.mill,goods,ton
2000,38,Ehime,1493,5181398,machine,2595109
2000,38,Ehime,1493,5181398,chemical,18693419
2000,38,Ehime,1493,5181398,Smachine,8090757
2000,38,Ehime,1493,5181398,miscind,698667
2000,38,Ehime,1493,5181398,special,625692
2000,38,Ehime,1493,5181398,total,43756613
2000,39,Kouchi,814,2498700,agriculture,598755
2000,39,Kouchi,814,2498700,wood,355769
2000,39,Kouchi,814,2498700,mine,12545163
2000,39,Kouchi,814,2498700,machine,767748
2000,39,Kouchi,814,2498700,chemical,8787258
2000,39,Kouchi,814,2498700,Smachine,1029765
2000,39,Kouchi,814,2498700,miscind,325379
2000,39,Kouchi,814,2498700,special,152774
2000,39,Kouchi,814,2498700,total,24562611
2000,40,Fukuoka,5016,17820424,agriculture,7924646
2000,40,Fukuoka,5016,17820424,wood,1812807
2000,40,Fukuoka,5016,17820424,mine,41869014
2000,40,Fukuoka,5016,17820424,machine,17994755
2000,40,Fukuoka,5016,17820424,chemical,50667216
2000,40,Fukuoka,5016,17820424,Smachine,13927154
2000,40,Fukuoka,5016,17820424,miscind,4277003
2000,40,Fukuoka,5016,17820424,special,3751805
2000,40,Fukuoka,5016,17820424,total,142224400
2000,41,Saga,877,3021823,agriculture,1228980
2000,41,Saga,877,3021823,wood,315769
2000,41,Saga,877,3021823,mine,4447349
2000,41,Saga,877,3021823,machine,1106262
2000,41,Saga,877,3021823,chemical,7214464
2000,41,Saga,877,3021823,Smachine,2904115
2000,41,Saga,877,3021823,miscind,2066782
2000,41,Saga,877,3021823,special,721838
2000,41,Saga,877,3021823,total,20005559
2000,42,Nagasaki,1517,4563209,agriculture,1485437
2000,42,Nagasaki,1517,4563209,wood,91505
2000,42,Nagasaki,1517,4563209,mine,10479902
2000,42,Nagasaki,1517,4563209,machine,2889212
2000,42,Nagasaki,1517,4563209,chemical,9392346
2000,42,Nagasaki,1517,4563209,Smachine,1854506
2000,42,Nagasaki,1517,4563209,miscind,343819
2000,42,Nagasaki,1517,4563209,special,312147
2000,42,Nagasaki,1517,4563209,total,26848874
