mode,time_1ibaraki,time_2tokyo,time_3hachinohe,time_4rail,time_5seikan,cost_1ibaraki,cost_2tokyo,cost_3hachinohe,cost_4rail,cost_5seikan,w1_al1,w1_al2,w1_al3,w1_al4,w1_al5,w2_al1,w2_al2,w2_al3,w2_al4,w2_al5,w3_al1,w3_al2,w3_al3,w3_al4,w3_al5,w4_al1,w4_al2,w4_al3,w4_al4,w4_al5,goods
1,22.935,37.275,17.32,23.428,18.01,331.43,338.58,280.35,195.6,351.49,1.716003344,0,0,0,0,0,1.716003344,0,0,0,0,0,1.716003344,0,0,0,0,0,1.716003344,0,7
1,23.105,36.567,18.395,30.335,19.085,325.51,339.71,299.65,185.2,361.89,3.77815125,0,0,0,0,0,3.77815125,0,0,0,0,0,3.77815125,0,0,0,0,0,3.77815125,0,6
1,25.727,37.212,20.115,50.033,20.995,372.68,358.6,323.53,196.8,399.46,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,1
1,21.818,36.612,16.922,25.733,17.61,312.03,335.65,275.8,181.4,349.52,4.05300157,0,0,0,0,0,4.05300157,0,0,0,0,0,4.05300157,0,0,0,0,0,4.05300157,0,6
1,22.34,35.5,17.443,54.672,18.173,313.44,308.36,271.73,190.4,352.34,3.77815125,0,0,0,0,0,3.77815125,0,0,0,0,0,3.77815125,0,0,0,0,0,3.77815125,0,1
1,22.365,35.998,17.47,19.183,18.16,315.25,318.93,272.9,184.8,346.59,4.251881455,0,0,0,0,0,4.251881455,0,0,0,0,0,4.251881455,0,0,0,0,0,4.251881455,0,5
1,26.64,36.895,21.603,65.11,22.365,392.15,357.86,355.16,235.4,423.72,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,6
1,21.382,37.537,16.71,31.92,17.398,293.21,354.38,269.14,182.9,339.8,3.8831502,0,0,0,0,0,3.8831502,0,0,0,0,0,3.8831502,0,0,0,0,0,3.8831502,0,6
1,22.765,37.105,17.15,23.152,17.84,328.99,336.14,277.91,190.4,348.57,2.064457989,0,0,0,0,0,2.064457989,0,0,0,0,0,2.064457989,0,0,0,0,0,2.064457989,0,4
1,27.135,37.39,22.098,69.523,22.98,390.86,356.57,353.87,244.4,423.06,2.954242509,0,0,0,0,0,2.954242509,0,0,0,0,0,2.954242509,0,0,0,0,0,2.954242509,0,1
